,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
5,2017-06,138.278,14.14,21908005.3518378,MinasGerais,21908005.3518378,6,2017,MinasGerais,138.278,14.14
0,2017-01,368.583,24.32,7599357.33724809,Para,7599357.33724809,1,2017,Para,368.583,24.32
1,2017-02,345.472,24.34,7599357.33724809,Para,7599357.33724809,2,2017,Para,345.472,24.34
2,2017-03,430.044,24.32,7599357.33724809,Para,7599357.33724809,3,2017,Para,430.044,24.32
3,2017-04,427.196,24.89,7599357.33724809,Para,7599357.33724809,4,2017,Para,427.196,24.89
4,2017-05,275.797,25.28,7599357.33724809,Para,7599357.33724809,5,2017,Para,275.797,25.28
5,2017-06,227.882,24.94,7599357.33724809,Para,7599357.33724809,6,2017,Para,227.882,24.94
0,2017-01,301.285,24.36,3032536.51135993,Paraiba,3032536.51135993,1,2017,Paraiba,301.285,24.36
1,2017-02,108.616,25.0,3032536.51135993,Paraiba,3032536.51135993,2,2017,Paraiba,108.616,25.0
2,2017-03,137.575,23.76,3032536.51135993,Paraiba,3032536.51135993,3,2017,Paraiba,137.575,23.76
3,2017-04,96.779,22.12,3032536.51135993,Paraiba,3032536.51135993,4,2017,Paraiba,96.779,22.12
4,2017-05,106.764,20.64,3032536.51135993,Paraiba,3032536.51135993,5,2017,Paraiba,106.764,20.64
5,2017-06,31.0,18.6,3032536.51135993,Paraiba,3032536.51135993,6,2017,Paraiba,31.0,18.6
0,2017-01,21.943,26.93,11596972.0803264,Parana,11596972.0803264,1,2017,Parana,21.943,26.93
1,2017-02,31.164,27.01,11596972.0803264,Parana,11596972.0803264,2,2017,Parana,31.164,27.01
2,2017-03,38.956,27.11,11596972.0803264,Parana,11596972.0803264,3,2017,Parana,38.956,27.11
3,2017-04,76.956,26.23,11596972.0803264,Parana,11596972.0803264,4,2017,Parana,76.956,26.23
4,2017-05,114.03,24.93,11596972.0803264,Parana,11596972.0803264,5,2017,Parana,114.03,24.93
5,2017-06,119.908,23.51,11596972.0803264,Parana,11596972.0803264,6,2017,Parana,119.908,23.51
0,2017-01,248.819,26.08,6122550.05195105,Pernambuco,6122550.05195105,1,2017,Pernambuco,248.819,26.08
1,2017-02,383.832,25.08,6122550.05195105,Pernambuco,6122550.05195105,2,2017,Pernambuco,383.832,25.08
2,2017-03,215.026,25.84,6122550.05195105,Pernambuco,6122550.05195105,3,2017,Pernambuco,215.026,25.84
3,2017-04,148.28,26.27,6122550.05195105,Pernambuco,6122550.05195105,4,2017,Pernambuco,148.28,26.27
4,2017-05,18.915,27.33,6122550.05195105,Pernambuco,6122550.05195105,5,2017,Pernambuco,18.915,27.33
5,2017-06,2.86,26.92,6122550.05195105,Pernambuco,6122550.05195105,6,2017,Pernambuco,2.86,26.92
0,2017-01,353.699,25.11,3360967.66738173,Piaui,3360967.66738173,1,2017,Piaui,353.699,25.11
1,2017-02,301.536,25.35,3360967.66738173,Piaui,3360967.66738173,2,2017,Piaui,301.536,25.35
2,2017-03,361.724,25.4,3360967.66738173,Piaui,3360967.66738173,3,2017,Piaui,361.724,25.4
3,2017-04,309.968,25.5,3360967.66738173,Piaui,3360967.66738173,4,2017,Piaui,309.968,25.5
4,2017-05,228.257,25.81,3360967.66738173,Piaui,3360967.66738173,5,2017,Piaui,228.257,25.81
5,2017-06,146.592,25.5,3360967.66738173,Piaui,3360967.66738173,6,2017,Piaui,146.592,25.5
0,2017-01,27.757,26.67,1683229.53896788,Rondonia,1683229.53896788,1,2017,Rondonia,27.757,26.67
1,2017-02,85.502,25.51,1683229.53896788,Rondonia,1683229.53896788,2,2017,Rondonia,85.502,25.51
2,2017-03,71.987,26.05,1683229.53896788,Rondonia,1683229.53896788,3,2017,Rondonia,71.987,26.05
3,2017-04,54.695,25.07,1683229.53896788,Rondonia,1683229.53896788,4,2017,Rondonia,54.695,25.07
4,2017-05,31.716,24.31,1683229.53896788,Rondonia,1683229.53896788,5,2017,Rondonia,31.716,24.31
5,2017-06,21.461,23.06,1683229.53896788,Rondonia,1683229.53896788,6,2017,Rondonia,21.461,23.06
0,2017-01,85.166,27.2,397797.722465312,Roraima,397797.722465312,1,2017,Roraima,85.166,27.2
1,2017-02,180.285,26.11,397797.722465312,Roraima,397797.722465312,2,2017,Roraima,180.285,26.11
2,2017-03,224.722,25.19,397797.722465312,Roraima,397797.722465312,3,2017,Roraima,224.722,25.19
3,2017-04,126.503,25.7,397797.722465312,Roraima,397797.722465312,4,2017,Roraima,126.503,25.7
4,2017-05,74.36,26.06,397797.722465312,Roraima,397797.722465312,5,2017,Roraima,74.36,26.06
5,2017-06,18.338,26.32,397797.722465312,Roraima,397797.722465312,6,2017,Roraima,18.338,26.32
0,2017-01,106.698,23.7,5584876.62046757,SantaCatarina,5584876.62046757,1,2017,SantaCatarina,106.698,23.7
1,2017-02,260.11,22.15,5584876.62046757,SantaCatarina,5584876.62046757,2,2017,SantaCatarina,260.11,22.15
2,2017-03,104.767,23.17,5584876.62046757,SantaCatarina,5584876.62046757,3,2017,SantaCatarina,104.767,23.17
3,2017-04,23.05,22.88,5584876.62046757,SantaCatarina,5584876.62046757,4,2017,SantaCatarina,23.05,22.88
4,2017-05,29.407,21.78,5584876.62046757,SantaCatarina,5584876.62046757,5,2017,SantaCatarina,29.407,21.78
5,2017-06,0.902,20.72,5584876.62046757,SantaCatarina,5584876.62046757,6,2017,SantaCatarina,0.902,20.72
0,2017-01,35.557,25.89,44967541.0592113,SaoPaulo,44967541.0592113,1,2017,SaoPaulo,35.557,25.89
1,2017-02,94.095,24.92,44967541.0592113,SaoPaulo,44967541.0592113,2,2017,SaoPaulo,94.095,24.92
2,2017-03,81.229,25.1,44967541.0592113,SaoPaulo,44967541.0592113,3,2017,SaoPaulo,81.229,25.1
3,2017-04,38.688,23.66,44967541.0592113,SaoPaulo,44967541.0592113,4,2017,SaoPaulo,38.688,23.66
4,2017-05,69.942,21.64,44967541.0592113,SaoPaulo,44967541.0592113,5,2017,SaoPaulo,69.942,21.64
5,2017-06,34.976,21.11,44967541.0592113,SaoPaulo,44967541.0592113,6,2017,SaoPaulo,34.976,21.11
0,2017-01,175.895,25.25,2322750.88176009,Sergipe,2322750.88176009,1,2017,Sergipe,175.895,25.25
1,2017-02,239.771,24.25,2322750.88176009,Sergipe,2322750.88176009,2,2017,Sergipe,239.771,24.25
2,2017-03,148.993,24.85,2322750.88176009,Sergipe,2322750.88176009,3,2017,Sergipe,148.993,24.85
3,2017-04,57.602,24.75,2322750.88176009,Sergipe,2322750.88176009,4,2017,Sergipe,57.602,24.75
4,2017-05,27.526,24.36,2322750.88176009,Sergipe,2322750.88176009,5,2017,Sergipe,27.526,24.36
5,2017-06,1.386,23.11,2322750.88176009,Sergipe,2322750.88176009,6,2017,Sergipe,1.386,23.11
0,2017-01,264.304,25.58,1313317.37805607,Tocantins,1313317.37805607,1,2017,Tocantins,264.304,25.58
1,2017-02,317.496,25.11,1313317.37805607,Tocantins,1313317.37805607,2,2017,Tocantins,317.496,25.11
2,2017-03,304.191,25.26,1313317.37805607,Tocantins,1313317.37805607,3,2017,Tocantins,304.191,25.26
3,2017-04,199.978,25.74,1313317.37805607,Tocantins,1313317.37805607,4,2017,Tocantins,199.978,25.74
4,2017-05,90.339,26.37,1313317.37805607,Tocantins,1313317.37805607,5,2017,Tocantins,90.339,26.37
5,2017-06,25.981,26.82,1313317.37805607,Tocantins,1313317.37805607,6,2017,Tocantins,25.981,26.82
